nome,preco,categoria,datavenda,metodopagamento
Notebook Dell Inspiron,4754.78,Notebook,2024-04-26,Cartão de Crédito
Monitor LG 24',3431.69,Monitor,2024-12-07,Cartão de Crédito
Teclado Mecânico Redragon,7636.14,Periférico,2025-01-11,Débito
Mouse Logitech G203,117.46,Periférico,2024-12-22,Boleto
Headset HyperX Cloud,3388.98,Áudio,2024-09-09,Pix
Impressora HP Deskjet,6749.4,Impressora,2024-03-10,Débito
HD Externo Seagate 1TB,954.75,Armazenamento,2025-04-09,Dinheiro
SSD Kingston 480GB,7688.75,Armazenamento,2024-07-26,Pix
Placa de Vídeo GTX 1660,4427.96,Placa de Vídeo,2024-05-27,Débito
Fonte Corsair 650W,7159.52,Fonte,2025-08-07,Cartão de Crédito
Memória RAM 8GB DDR4,1995.55,Memória,2025-08-16,Boleto
Gabinete Gamer RGB,4967.52,Gabinete,2025-06-14,Dinheiro
Notebook Lenovo Ideapad,4849.35,Notebook,2024-06-09,Cartão de Crédito
Monitor Samsung 27',4192.76,Monitor,2024-09-05,Pix
Mousepad Gamer XXL,4743.92,Periférico,2025-02-25,Boleto
Cadeira Gamer ThunderX3,923.35,Móvel,2024-03-23,Boleto
Switch TP-Link 8 portas,5759.81,Rede,2025-03-29,Dinheiro
Roteador Intelbras Dual Band,4843.77,Rede,2024-01-11,Pix
Webcam Logitech C920,1520.53,Periférico,2024-01-31,Boleto
Caixa de Som JBL,3659.72,Áudio,2024-09-17,Dinheiro
Pendrive Sandisk 64GB,3348.77,Armazenamento,2024-09-15,Dinheiro
Teclado Sem Fio Logitech,6285.04,Periférico,2025-01-09,Pix
Placa Mãe ASUS B450,4999.66,Placa Mãe,2024-10-10,Boleto
Processador Ryzen 5 5600G,3116.42,Processador,2025-05-31,Débito
Cooler Master Hyper 212,5922.96,Cooler,2024-12-25,Débito
Headset Razer Kraken,1124.14,Áudio,2024-06-30,Débito
Mouse Sem Fio Microsoft,5787.6,Periférico,2025-08-19,Boleto
Teclado Gamer Corsair,437.29,Periférico,2025-06-01,Cartão de Crédito
Notebook Acer Aspire,1534.84,Notebook,2024-08-09,Pix
Monitor AOC 21.5',2596.61,Monitor,2024-04-14,Pix
Estabilizador APC,3166.76,Energia,2025-06-08,Pix
Nobreak SMS 1400VA,1848.46,Energia,2024-01-26,Dinheiro
Scanner Canon Lide,340.17,Scanner,2025-05-15,Cartão de Crédito
Hub USB 4 portas,994.22,Periférico,2024-07-04,Cartão de Crédito
Adaptador HDMI para VGA,4265.39,Adaptador,2025-07-24,Dinheiro
